停止信号任务-ssrt,停止信号任务-go_rt,停止信号任务-rt_variability,第1题,第2题,第3题,第4题,第5题,第6题,第7题,第8题,第9题,第10题,第12题,第13题,第14题,第15题,第16题,第17题,第18题,第19题,第20题,第21题,第22题,第23题,第24题,第25题,第26题,第27题,第28题,第30题,第31题,第32题,第33题,第34题,第35题,第36题,性别,危机-自己,问题-抑郁,问题-焦虑
347.0,826.8306010928961,0.1432973852575408,3,5,3,5,5,5,3,4,5,2,3,3,3,1,5,4,3,5,2,2,2,1,2,2,1,1,3,5,1,3,3,3,1,2,1,1.5,3.0,3.25
334.0,693.6127659574468,0.2210504810851631,3,4,3,2,4,4,4,3,3,2,2,3,2,1,3,3,2,3,3,3,3,3,1,1,1,2,2,3,2,2,3,2,3,2,1,3.0,3.0,3.75
452.5,574.9820143884892,0.124930273443619,3,4,1,3,3,1,4,1,3,2,2,2,2,1,5,4,3,4,2,1,2,2,1,1,3,4,2,4,2,1,3,2,1,4,0,3.5,2.0,2.5
350.0,791.8666666666667,0.1489186363210096,4,2,4,1,2,1,5,3,5,5,3,5,3,3,5,5,5,5,5,1,4,2,1,1,2,4,5,5,5,2,2,4,3,1,0,4.5,5.0,4.25
379.0,735.7615062761506,0.1740300684860153,3,3,3,4,4,3,1,3,2,2,2,1,1,2,2,2,2,2,2,3,1,1,1,1,1,2,2,2,2,3,1,2,1,3,1,1.5,1.0,1.75
385.0,772.4840182648402,0.1710936292657923,1,5,4,5,5,5,4,4,4,1,2,2,1,3,2,2,3,4,2,2,2,2,1,1,2,1,2,2,1,3,1,2,1,5,0,1.0,1.25,3.0
374.0,599.3828996282527,0.195044045872947,3,3,4,3,3,5,4,3,2,1,3,3,3,3,3,5,3,3,3,2,2,3,2,2,2,3,3,5,3,3,5,3,2,2,1,1.5,3.75,3.75
347.5,796.4495798319327,0.1395504808452779,3,3,4,3,4,4,3,4,3,1,3,1,2,3,2,2,2,3,3,4,1,3,1,1,1,3,2,2,1,4,2,1,2,3,0,1.5,2.0,2.0
359.5,747.1837606837607,0.1595100619249687,5,1,1,5,3,4,5,2,5,2,4,4,2,2,4,5,1,4,2,1,2,4,2,1,2,2,4,5,1,2,5,4,1,1,0,1.0,4.5,4.75
364.0,824.4510869565217,0.1642775985695167,3,2,2,1,4,3,3,2,3,2,3,2,2,2,3,4,1,3,3,1,3,2,2,1,1,3,1,4,3,1,3,2,2,1,0,3.25,4.0,3.25
207.5,893.125,0.1087611033769643,3,1,2,1,3,1,5,2,4,5,3,4,2,2,4,2,3,5,4,3,4,3,2,1,2,5,4,3,2,2,3,4,2,2,0,3.75,4.5,3.0
422.0,677.5343137254902,0.2754595358699653,4,2,4,1,5,2,5,5,5,5,2,3,3,2,3,1,2,5,5,1,3,1,1,1,1,2,4,3,3,5,5,1,1,1,1,1.5,3.5,1.75
252.0,801.3368421052631,0.1384612762239965,2,3,3,2,2,4,4,2,3,2,2,4,2,2,3,5,2,2,2,2,3,2,1,1,1,2,1,5,1,1,5,4,1,2,0,3.25,2.25,2.5
291.0,686.6636771300448,0.1984313763512065,1,2,4,2,2,2,4,2,5,3,3,3,2,2,3,2,2,3,4,2,3,2,2,1,1,3,2,4,2,3,5,2,2,2,0,2.0,2.0,1.25
451.0,624.7960784313725,0.1812304976953068,2,3,4,2,4,4,2,1,2,1,2,2,1,2,3,2,1,2,2,1,2,4,1,1,1,2,3,2,1,1,5,2,1,1,1,1.0,1.25,1.75
308.0,644.1439393939394,0.2200451244382053,2,4,3,2,4,4,3,3,4,3,4,1,2,2,2,2,3,4,2,4,1,4,1,1,3,4,3,2,1,2,1,2,1,2,1,2.0,3.0,2.5
405.0,677.5467625899281,0.2009825787331712,2,4,4,4,2,1,3,1,3,1,3,1,2,1,3,5,1,2,3,3,2,2,1,1,4,4,2,3,1,2,2,3,1,3,1,1.0,2.5,3.75
302.5,755.6455696202531,0.2110657684971068,2,5,4,3,3,5,2,3,2,4,2,1,2,1,3,1,2,2,3,3,1,1,1,1,1,1,2,1,1,3,1,1,1,3,1,3.25,2.25,2.75
353.5,623.7007575757576,0.1483904509178157,4,1,3,4,4,1,2,5,5,1,5,5,2,5,4,3,2,5,5,5,3,2,1,1,1,4,2,2,1,3,3,4,1,3,1,3.75,4.25,4.75
285.0,747.4051724137931,0.1611105597943334,2,5,5,5,5,4,1,4,2,3,1,1,1,2,1,1,3,4,3,5,1,1,1,1,1,1,5,1,1,4,1,1,1,4,1,1.0,1.75,2.25
331.0,859.6176470588235,0.1076995940492455,2,4,3,2,2,2,5,3,4,1,2,4,1,2,3,3,1,5,3,2,2,4,1,1,3,1,1,2,2,2,4,2,2,4,0,2.75,2.75,4.25
287.0,710.5574468085107,0.1903526800950108,1,5,5,5,5,4,1,5,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1.0,1.25,1.0
320.5,775.3026315789474,0.161587772764366,1,2,3,2,3,3,5,2,2,2,5,3,2,3,3,1,2,4,3,1,3,3,1,1,1,5,2,2,1,3,1,2,5,5,0,1.75,2.75,4.0
337.0,714.1097046413502,0.2249909450229097,2,4,4,5,5,5,3,5,1,1,1,1,1,1,2,2,3,2,3,5,1,1,1,1,1,1,2,2,1,5,4,1,1,4,0,1.0,2.0,1.25
250.5,713.7212389380531,0.1963644336230871,1,3,3,4,3,3,2,3,2,3,3,1,1,3,2,3,3,4,3,3,2,3,1,1,1,3,2,3,1,3,4,2,3,4,0,1.75,2.0,4.25
349.0,788.147465437788,0.1586931851615496,4,2,2,5,4,4,2,3,3,1,3,1,2,1,3,2,1,2,3,2,1,2,1,1,2,3,2,2,1,2,1,3,2,4,0,2.0,1.0,1.75
447.0,714.6540084388186,0.2024602018000608,1,5,5,5,5,5,1,5,1,1,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,3,5,1,5,5,1,1,1,0,1.0,1.0,1.0
268.0,853.1442786069651,0.1380642517419237,3,5,4,1,4,2,1,5,1,2,1,1,1,1,4,5,2,5,3,2,1,2,1,1,1,2,2,5,1,5,5,4,1,1,0,1.0,1.0,2.25
404.0,624.0981132075472,0.1679208929627536,3,2,2,4,2,3,2,1,3,1,2,1,1,2,2,5,1,1,1,4,1,2,1,1,1,3,1,2,1,1,2,1,1,4,0,1.0,1.25,2.0
364.0,687.0604838709677,0.1975342034222965,2,4,3,3,4,4,3,2,4,1,2,2,1,1,2,2,2,2,3,4,1,4,1,1,1,2,2,2,1,1,2,1,1,3,0,1.0,1.5,2.0
400.0,675.6225680933852,0.1370995329475084,1,4,5,3,4,4,3,5,4,1,2,1,1,2,3,4,1,1,3,5,1,1,1,1,1,2,2,1,1,4,1,2,1,2,0,1.25,1.5,1.5
399.5,683.37890625,0.1328123921882973,3,3,3,4,5,3,2,3,2,2,3,3,2,2,3,3,2,3,4,3,2,2,1,1,5,3,2,2,2,3,2,3,2,3,0,2.0,3.25,4.0
315.5,756.1232876712329,0.1705832453611637,1,4,4,5,4,3,5,3,4,3,2,1,2,3,2,1,2,3,3,5,1,4,1,1,1,1,2,2,1,3,3,1,1,4,1,1.0,1.0,2.0
237.0,771.689497716895,0.1700200785442087,4,4,4,5,2,1,2,3,2,1,2,1,2,2,3,3,2,3,4,3,1,1,1,1,2,1,3,3,1,3,2,4,1,5,1,1.0,2.0,2.0
221.5,786.0240384615385,0.192814498045645,2,3,4,4,4,4,3,4,5,1,2,1,1,2,3,3,1,4,1,3,2,1,1,1,2,2,2,3,1,4,3,3,2,4,1,1.25,2.5,3.0
302.0,678.3095238095239,0.1889747642484566,3,2,3,3,3,3,5,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,1,1,1,4,3,3,3,2,3,3,1,1,0,2.25,3.5,3.25
316.0,848.8772727272727,0.1262043587976385,2,4,4,3,4,4,4,4,4,1,2,1,1,2,3,3,2,3,3,2,2,3,1,1,2,3,2,3,1,3,2,2,1,2,0,1.0,2.75,2.25
315.5,720.324074074074,0.2191956268969472,3,2,1,5,2,3,4,2,3,3,3,4,2,5,3,2,2,3,3,4,3,3,1,3,1,2,2,2,1,2,5,1,2,2,1,3.5,3.5,3.5
349.0,710.3585657370518,0.1929148355712522,2,2,4,2,5,5,4,5,3,4,3,4,4,3,4,3,3,5,2,3,2,5,2,2,2,4,4,3,2,5,3,3,1,2,1,2.75,3.75,3.5
